stratum,representation,cyclones,eligible_states,q95_positive_states,entropy_nats,area50_km2,area75_km2,area90_km2,rms_about_centroid_km,centroid_x_km,centroid_y_km,centroid_distance_km,anisotropy_axis_ratio,occupied_bins,mass_total_state_equivalents
all,centered,1784,23050,16921,7.1150546566188435,967500.0,1817500.0,2660000.0,672.0603931188265,-112.21211081394054,189.14231932186186,219.92356574904207,1.0374692096934086,1600,16921.0
all,motion_relative,1784,23050,16921,7.1127623761301635,935000.0,1862500.0,2757500.0,679.7461695993269,-136.35521931011095,-138.80491403380748,194.57530674019543,1.022354857799833,1600,16921.001953125
full_support,centered,1781,15437,12312,7.160906744190145,1062500.0,1930000.0,2760000.0,695.9428420117364,-78.55288834178351,175.63469293047348,192.40088780361285,1.0445664531119239,1599,12312.0
full_support,motion_relative,1781,15437,12312,7.156275185394254,1030000.0,1965000.0,2840000.0,700.6438061179028,-136.21024647626484,-108.28172336509931,174.00621500406447,1.011448126870809,1600,12312.0
incipient,centered,1155,2520,2078,7.160638120407645,1072500.0,1907500.0,2757500.0,737.6012629837893,-173.6869249920092,197.8357002890616,263.2605405715852,1.013514840630072,1592,2078.0
incipient,motion_relative,1155,2520,2078,7.189842993221921,1122500.0,2000000.0,2837500.0,750.1034882060293,-126.50016835328228,-185.00656978190375,224.11988634629276,1.0386178141619133,1592,2078.0
intensification,centered,1731,9058,7301,7.059107407769769,887500.0,1705000.0,2500000.0,649.9643250815866,-98.9639189727499,197.80911221196848,221.18386499139612,1.0460421282034351,1599,7301.00048828125
intensification,motion_relative,1731,9058,7301,7.04484769174918,840000.0,1695000.0,2557500.0,652.3316961262469,-152.41304571128546,-150.45292650196143,214.163067768453,1.0547421229454192,1599,7301.0
mature,centered,1116,2261,1821,6.893271524593242,665000.0,1400000.0,2202500.0,572.205684496766,-108.33151051971663,200.57096841985893,227.9570782940585,1.1190525063191419,1587,1820.9998779296875
mature,motion_relative,1116,2261,1821,6.900573015127376,655000.0,1392500.0,2255000.0,575.802801581854,-152.991525749355,-155.75433217126266,218.32503049634866,1.0433447529685485,1592,1821.0
decay,centered,1532,8102,4891,7.122445667556128,962500.0,1872500.0,2732500.0,688.778654633063,-106.70292776097088,174.355201439987,204.414410113234,1.0226871081843172,1599,4891.0
decay,motion_relative,1532,8102,4891,7.112915212756464,927500.0,1907500.0,2832500.0,701.2626517038493,-120.8674870116626,-98.60210308379193,155.98501257832805,1.034480264567049,1600,4891.0
