stratum,representation,weighting,cyclones_with_q95,q95_positive_states,entropy_nats,area50_km2,area75_km2,area90_km2,rms_about_centroid_km,centroid_x_km,centroid_y_km,centroid_distance_km,anisotropy_axis_ratio,occupied_bins,mass_total_state_equivalents
all,centered,equal_state,1757,16921,7.115054663069128,967500.0,1817500.0,2660000.0,672.0603934807498,-112.21211084564328,189.14231958393776,219.9235659906127,1.0374692100197824,1600,16921.0
all,centered,equal_cyclone,1757,16921,7.124887867897266,982500.0,1842500.0,2677500.0,713.2198351654746,-137.38029146046017,172.01821644929348,220.1445236024666,1.0101696175714001,1600,1757.0
all,motion_relative,equal_state,1757,16921,7.1127623785965195,935000.0,1862500.0,2757500.0,679.7461695880264,-136.35521965743186,-138.8049140091498,194.57530696600213,1.0223548578353623,1600,16921.001953125
all,motion_relative,equal_cyclone,1757,16921,7.124477294141905,960000.0,1870000.0,2755000.0,721.4298187652678,-110.5547166187464,-155.2115737047057,190.55964414991598,1.0360390698448463,1600,1757.0
incipient,centered,equal_state,1051,2078,7.1606381200537506,1072500.0,1907500.0,2757500.0,737.6012629712492,-173.6869250680209,197.83570033352126,263.2605406551448,1.0135148406692114,1592,2078.0
incipient,centered,equal_cyclone,1051,2078,7.149308593886147,1040000.0,1897500.0,2752500.0,750.5030742890262,-183.28200910677538,203.4753093939217,273.8512304065261,1.020131384090532,1592,1051.0
incipient,motion_relative,equal_state,1051,2078,7.189842993882463,1122500.0,2000000.0,2837500.0,750.1034882113795,-126.50016837336084,-185.00656977329868,224.1198863505224,1.038617814158547,1592,2078.0
incipient,motion_relative,equal_cyclone,1051,2078,7.1824047288648725,1105000.0,1987500.0,2830000.0,764.1802742554237,-129.12662445371103,-192.13877080536906,231.49728376248362,1.0264722655689684,1592,1051.0
intensification,centered,equal_state,1611,7301,7.0591074067573025,887500.0,1705000.0,2500000.0,649.9643250315753,-98.96391891805175,197.80911231401723,221.18386505818683,1.046042128073032,1599,7301.00048828125
intensification,centered,equal_cyclone,1611,7301,7.083017032384285,920000.0,1760000.0,2550000.0,685.5870143291341,-126.83276240409594,184.23660736436193,223.6731479462475,1.0267629333639465,1599,1611.0
intensification,motion_relative,equal_state,1611,7301,7.044847693313738,840000.0,1695000.0,2557500.0,652.3316963350005,-152.41304581210966,-150.45292655870054,214.1630678800665,1.0547421228234977,1599,7301.0
intensification,motion_relative,equal_cyclone,1611,7301,7.075202743688797,887500.0,1755000.0,2620000.0,690.3054165933269,-128.18572748098202,-164.22435264958193,208.32959159227198,1.0553884015447637,1599,1611.0
mature,centered,equal_state,923,1821,6.89327152666008,665000.0,1400000.0,2202500.0,572.205684538738,-108.33151063223228,200.57096850373424,227.95707842132782,1.119052506487582,1587,1820.9998779296875
mature,centered,equal_cyclone,923,1821,6.896213354946367,657500.0,1417500.0,2235000.0,585.7163266542,-94.52883146678181,194.6577790493647,216.39628213743998,1.1164005488809658,1587,923.0000610351562
mature,motion_relative,equal_state,923,1821,6.900573016446552,655000.0,1392500.0,2255000.0,575.8028015950948,-152.99152583445772,-155.7543322563654,218.3250306166973,1.043344752946105,1592,1821.0
mature,motion_relative,equal_cyclone,923,1821,6.893330579026369,642500.0,1397500.0,2275000.0,587.9917260722037,-153.95079393357233,-142.43727424486949,209.7360818912316,1.047282038120524,1592,923.0
decay,centered,equal_state,1296,4891,7.122445667346949,962500.0,1872500.0,2732500.0,688.7786546318554,-106.70292787643889,174.35520125932072,204.41441001940825,1.0226871081307174,1599,4891.0
decay,centered,equal_cyclone,1296,4891,7.093392410848315,905000.0,1792500.0,2667500.0,715.0272661506908,-142.92134500697793,165.79208629770108,218.89158672171018,1.0250985383630073,1599,1296.0
decay,motion_relative,equal_state,1296,4891,7.112915207895567,927500.0,1907500.0,2832500.0,701.262651649972,-120.86748686694676,-98.60210302377294,155.98501242825313,1.0344802645804554,1600,4891.0
decay,motion_relative,equal_cyclone,1296,4891,7.09154967775344,890000.0,1812500.0,2740000.0,729.2888381707535,-99.64480664023955,-130.72687258833787,164.37336373968336,1.0344686183083713,1600,1296.0
